time_step,i,j,seed_0,mean_margin,std_margin
1000,0,0,1.5266375403416577e-12,1.5266375403416577e-12,0.0
1010,0,0,1.586820301893721e-12,1.586820301893721e-12,0.0
1020,0,0,1.6624243214663492e-12,1.6624243214663492e-12,0.0
1030,0,0,1.7893318120590362e-12,1.7893318120590362e-12,0.0
1040,0,0,1.8146895661499962e-12,1.8146895661499962e-12,0.0
1050,0,0,1.830684475540023e-12,1.830684475540023e-12,0.0
1060,0,0,1.7869925374516815e-12,1.7869925374516815e-12,0.0
1070,0,0,1.934538683759368e-12,1.934538683759368e-12,0.0
1080,0,0,1.965658755556654e-12,1.965658755556654e-12,0.0
1090,0,0,1.975267172049655e-12,1.975267172049655e-12,0.0
1100,0,0,1.906993226524767e-12,1.906993226524767e-12,0.0
1110,0,0,1.9220619019988394e-12,1.9220619019988394e-12,0.0
1120,0,0,1.9573190724458955e-12,1.9573190724458955e-12,0.0
1130,0,0,1.9755067807297744e-12,1.9755067807297744e-12,0.0
1140,0,0,2.1323598269062938e-12,2.1323598269062938e-12,0.0
1150,0,0,2.1711920455969036e-12,2.1711920455969036e-12,0.0
1160,0,0,2.143964042758406e-12,2.143964042758406e-12,0.0
1170,0,0,2.1089636113857946e-12,2.1089636113857946e-12,0.0
1180,0,0,2.1151717530254466e-12,2.1151717530254466e-12,0.0
1190,0,0,1.982412281206769e-12,1.982412281206769e-12,0.0
1200,0,0,1.904652650874805e-12,1.904652650874805e-12,0.0
1210,0,0,1.859998266517948e-12,1.859998266517948e-12,0.0
1220,0,0,1.9810500895972583e-12,1.9810500895972583e-12,0.0
1230,0,0,1.992485169910463e-12,1.992485169910463e-12,0.0
1240,0,0,2.0302687482598447e-12,2.0302687482598447e-12,0.0
1250,0,0,2.0254366760175113e-12,2.0254366760175113e-12,0.0
1260,0,0,1.934016965673968e-12,1.934016965673968e-12,0.0
1270,0,0,1.9608750387312135e-12,1.9608750387312135e-12,0.0
1280,0,0,1.9766462772130566e-12,1.9766462772130566e-12,0.0
1290,0,0,2.004880636508055e-12,2.004880636508055e-12,0.0
1300,0,0,2.0194380022375835e-12,2.0194380022375835e-12,0.0
1310,0,0,2.1580441426916064e-12,2.1580441426916064e-12,0.0
1320,0,0,2.1855520865310396e-12,2.1855520865310396e-12,0.0
1330,0,0,2.242231140342499e-12,2.242231140342499e-12,0.0
1340,0,0,2.2844456361303944e-12,2.2844456361303944e-12,0.0
1350,0,0,2.4448977998386967e-12,2.4448977998386967e-12,0.0
1360,0,0,2.6430671887234247e-12,2.6430671887234247e-12,0.0
1370,0,0,2.8607567703620163e-12,2.8607567703620163e-12,0.0
1380,0,0,2.8944535570424312e-12,2.8944535570424312e-12,0.0
1390,0,0,2.9456450299780723e-12,2.9456450299780723e-12,0.0
1400,0,0,3.3671112772970524e-12,3.3671112772970524e-12,0.0
1410,0,0,3.0032048896344588e-12,3.0032048896344588e-12,0.0
1420,0,0,3.2398059929272804e-12,3.2398059929272804e-12,0.0
1430,0,0,3.2760307053930626e-12,3.2760307053930626e-12,0.0
1440,0,0,3.322564879476575e-12,3.322564879476575e-12,0.0
1450,0,0,3.5225394649784914e-12,3.5225394649784914e-12,0.0
1460,0,0,3.772995370993071e-12,3.772995370993071e-12,0.0
1470,0,0,3.992264852037408e-12,3.992264852037408e-12,0.0
1480,0,0,4.291017194346658e-12,4.291017194346658e-12,0.0
1490,0,0,4.374232313170134e-12,4.374232313170134e-12,0.0
1500,0,0,4.460702640596281e-12,4.460702640596281e-12,0.0
1510,0,0,4.572668632629728e-12,4.572668632629728e-12,0.0
1520,0,0,4.409965448370912e-12,4.409965448370912e-12,0.0
1530,0,0,4.223382494422667e-12,4.223382494422667e-12,0.0
1540,0,0,3.894072564403217e-12,3.894072564403217e-12,0.0
1550,0,0,3.9681530630830686e-12,3.9681530630830686e-12,0.0
1560,0,0,4.702307120074689e-12,4.702307120074689e-12,0.0
1570,0,0,5.234015911653733e-12,5.234015911653733e-12,0.0
1580,0,0,5.742426065907802e-12,5.742426065907802e-12,0.0
1590,0,0,5.793377496482455e-12,5.793377496482455e-12,0.0
1600,0,0,6.7428480333975305e-12,6.7428480333975305e-12,0.0
1610,0,0,7.22689616483585e-12,7.22689616483585e-12,0.0
1620,0,0,6.892033818650667e-12,6.892033818650667e-12,0.0
1630,0,0,6.9272140107434765e-12,6.9272140107434765e-12,0.0
1640,0,0,6.537697466724168e-12,6.537697466724168e-12,0.0
1650,0,0,6.1246546029236626e-12,6.1246546029236626e-12,0.0
1660,0,0,5.635057958447431e-12,5.635057958447431e-12,0.0
1670,0,0,5.143217015474155e-12,5.143217015474155e-12,0.0
1680,0,0,4.6331710169822404e-12,4.6331710169822404e-12,0.0
1690,0,0,5.888870120707157e-12,5.888870120707157e-12,0.0
1700,0,0,5.9862947932032284e-12,5.9862947932032284e-12,0.0
1710,0,0,6.843424264768583e-12,6.843424264768583e-12,0.0
1720,0,0,6.948359856234765e-12,6.948359856234765e-12,0.0
1730,0,0,7.59931961108462e-12,7.59931961108462e-12,0.0
1740,0,0,6.896971709025035e-12,6.896971709025035e-12,0.0
1750,0,0,6.987101001942886e-12,6.987101001942886e-12,0.0
1760,0,0,5.27390154117513e-12,5.27390154117513e-12,0.0
1770,0,0,5.230044262255484e-12,5.230044262255484e-12,0.0
1780,0,0,4.287020391458007e-12,4.287020391458007e-12,0.0
1790,0,0,5.427598474827544e-12,5.427598474827544e-12,0.0
1800,0,0,3.639450719961079e-12,3.639450719961079e-12,0.0
1810,0,0,3.779367010320334e-12,3.779367010320334e-12,0.0
1820,0,0,5.3433533639402064e-12,5.3433533639402064e-12,0.0
1830,0,0,7.343561522765718e-12,7.343561522765718e-12,0.0
1840,0,0,7.263324056788756e-12,7.263324056788756e-12,0.0
1850,0,0,8.447960213320282e-12,8.447960213320282e-12,0.0
1860,0,0,8.614550045527025e-12,8.614550045527025e-12,0.0
1870,0,0,9.867953676412355e-12,9.867953676412355e-12,0.0
1880,0,0,9.759004368503632e-12,9.759004368503632e-12,0.0
1890,0,0,9.901689711211414e-12,9.901689711211414e-12,0.0
1900,0,0,1.2462990708894672e-11,1.2462990708894672e-11,0.0
1910,0,0,1.3858678961364834e-11,1.3858678961364834e-11,0.0
1920,0,0,1.4272067902498797e-11,1.4272067902498797e-11,0.0
1930,0,0,1.3008730377628286e-11,1.3008730377628286e-11,0.0
1940,0,0,1.164777996276456e-11,1.164777996276456e-11,0.0
1950,0,0,1.0050406687445168e-11,1.0050406687445168e-11,0.0
1960,0,0,1.1924487439141096e-11,1.1924487439141096e-11,0.0
1970,0,0,1.1766931179435502e-11,1.1766931179435502e-11,0.0
1980,0,0,1.2385838014938866e-11,1.2385838014938866e-11,0.0
1990,0,0,1.2635149870821039e-11,1.2635149870821039e-11,0.0
0,0,1,0.002967951586470008,0.002967951586470008,0.0
10,0,1,0.014318105764687061,0.014318105764687061,0.0
20,0,1,0.030100015923380852,0.030100015923380852,0.0
30,0,1,0.053495049476623535,0.053495049476623535,0.0
40,0,1,0.05816635489463806,0.05816635489463806,0.0
50,0,1,0.08662798255681992,0.08662798255681992,0.0
60,0,1,0.06855212152004242,0.06855212152004242,0.0
70,0,1,0.0970579981803894,0.0970579981803894,0.0
80,0,1,0.09684956073760986,0.09684956073760986,0.0
90,0,1,0.1229618713259697,0.1229618713259697,0.0
100,0,1,0.1632029116153717,0.1632029116153717,0.0
110,0,1,0.1849251538515091,0.1849251538515091,0.0
120,0,1,0.20380349457263947,0.20380349457263947,0.0
130,0,1,0.23207712173461914,0.23207712173461914,0.0
140,0,1,0.23385998606681824,0.23385998606681824,0.0
150,0,1,0.22878706455230713,0.22878706455230713,0.0
160,0,1,0.20717769861221313,0.20717769861221313,0.0
170,0,1,0.24954646825790405,0.24954646825790405,0.0
180,0,1,0.23687933385372162,0.23687933385372162,0.0
190,0,1,0.23678353428840637,0.23678353428840637,0.0
200,0,1,0.26753297448158264,0.26753297448158264,0.0
210,0,1,0.2774248719215393,0.2774248719215393,0.0
220,0,1,0.26922887563705444,0.26922887563705444,0.0
230,0,1,0.2815091609954834,0.2815091609954834,0.0
240,0,1,0.2876841127872467,0.2876841127872467,0.0
250,0,1,0.2814904749393463,0.2814904749393463,0.0
260,0,1,0.3261996805667877,0.3261996805667877,0.0
270,0,1,0.3042875826358795,0.3042875826358795,0.0
280,0,1,0.31296950578689575,0.31296950578689575,0.0
290,0,1,0.30989399552345276,0.30989399552345276,0.0
300,0,1,0.31204304099082947,0.31204304099082947,0.0
310,0,1,0.3352850675582886,0.3352850675582886,0.0
320,0,1,0.33633100986480713,0.33633100986480713,0.0
330,0,1,0.3492818772792816,0.3492818772792816,0.0
340,0,1,0.3307492733001709,0.3307492733001709,0.0
350,0,1,0.3218706250190735,0.3218706250190735,0.0
360,0,1,0.3334634006023407,0.3334634006023407,0.0
370,0,1,0.31834933161735535,0.31834933161735535,0.0
