time_step,item,unit,seed_0,mean_activation,std_activation
0,0,0,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,1,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,2,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,3,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,4,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,5,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,6,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,7,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,8,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,9,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,10,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,11,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,12,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,13,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,14,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,15,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,16,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,17,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,18,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,0,19,-3.1428610327566275e-06,-3.1428610327566275e-06,0.0
0,1,0,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,1,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,2,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,3,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,4,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,5,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,6,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,7,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,8,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,9,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,10,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,11,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,12,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,13,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,14,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,15,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,16,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,17,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,18,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,1,19,2.6710338829616376e-07,2.6710338829616376e-07,0.0
0,2,0,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,1,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,2,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,3,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,4,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,5,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,6,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,7,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,8,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,9,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,10,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,11,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,12,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,13,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,14,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,15,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,16,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,17,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,18,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,2,19,-7.406330837511632e-07,-7.406330837511632e-07,0.0
0,3,0,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,1,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,2,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,3,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,4,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,5,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,6,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,7,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,8,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,9,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,10,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,11,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,12,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,13,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,14,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,15,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,16,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,17,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,18,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,3,19,-1.882401420516544e-06,-1.882401420516544e-06,0.0
0,4,0,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,1,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,2,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,3,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,4,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,5,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,6,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,7,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,8,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,9,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,10,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,11,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,12,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,13,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,14,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,15,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,16,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,17,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,18,9.570733539021603e-08,9.570733539021603e-08,0.0
0,4,19,9.570733539021603e-08,9.570733539021603e-08,0.0
0,5,0,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,1,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,2,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,3,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,4,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,5,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,6,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,7,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,8,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,9,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,10,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,11,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,12,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,13,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,14,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,15,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,16,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,17,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,18,4.069125679961871e-06,4.069125679961871e-06,0.0
0,5,19,4.069125679961871e-06,4.069125679961871e-06,0.0
0,6,0,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,1,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,2,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,3,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,4,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,5,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,6,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,7,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,8,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,9,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,10,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,11,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,12,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,13,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,14,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,15,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,16,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,17,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,18,3.2545488011237467e-06,3.2545488011237467e-06,0.0
0,6,19,3.2545488011237467e-06,3.2545488011237467e-06,0.0
10,0,0,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,1,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,2,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,3,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,4,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,5,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,6,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,7,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,8,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,9,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,10,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,11,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,12,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,13,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,14,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,15,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,16,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,17,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,18,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,0,19,-3.14820499625057e-06,-3.14820499625057e-06,0.0
10,1,0,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,1,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,2,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,3,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,4,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,5,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,6,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,7,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,8,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,9,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,10,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,11,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,12,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,13,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,14,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,15,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,16,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,17,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,18,2.826280649514956e-07,2.826280649514956e-07,0.0
10,1,19,2.826280649514956e-07,2.826280649514956e-07,0.0
10,2,0,-7.606593044329202e-07,-7.606593044329202e-07,0.0
10,2,1,-7.606593044329202e-07,-7.606593044329202e-07,0.0
10,2,2,-7.606593044329202e-07,-7.606593044329202e-07,0.0
