time_step,i,j,seed_0,mean_margin,std_margin
0,0,0,1.883928668448831e-14,1.883928668448831e-14,0.0
10,0,0,2.0845982275433106e-14,2.0845982275433106e-14,0.0
20,0,0,2.2497018896221188e-14,2.2497018896221188e-14,0.0
30,0,0,2.362201417544646e-14,2.362201417544646e-14,0.0
40,0,0,2.4903112544653015e-14,2.4903112544653015e-14,0.0
50,0,0,2.6619680716438374e-14,2.6619680716438374e-14,0.0
60,0,0,2.6454228076785297e-14,2.6454228076785297e-14,0.0
70,0,0,2.7983297035366443e-14,2.7983297035366443e-14,0.0
80,0,0,2.7982907400210706e-14,2.7982907400210706e-14,0.0
90,0,0,2.9473975072646236e-14,2.9473975072646236e-14,0.0
0,0,1,0.002967951586470008,0.002967951586470008,0.0
10,0,1,0.014318105764687061,0.014318105764687061,0.0
20,0,1,0.030100015923380852,0.030100015923380852,0.0
30,0,1,0.053495049476623535,0.053495049476623535,0.0
40,0,1,0.05816635489463806,0.05816635489463806,0.0
50,0,1,0.08662798255681992,0.08662798255681992,0.0
60,0,1,0.06855212152004242,0.06855212152004242,0.0
70,0,1,0.0970579981803894,0.0970579981803894,0.0
80,0,1,0.09684956073760986,0.09684956073760986,0.0
90,0,1,0.1229618713259697,0.1229618713259697,0.0
0,0,2,0.00926399976015091,0.00926399976015091,0.0
10,0,2,0.028372744098305702,0.028372744098305702,0.0
20,0,2,0.05502225086092949,0.05502225086092949,0.0
30,0,2,0.06621883809566498,0.06621883809566498,0.0
40,0,2,0.0866163969039917,0.0866163969039917,0.0
50,0,2,0.0952582135796547,0.0952582135796547,0.0
60,0,2,0.09465251117944717,0.09465251117944717,0.0
70,0,2,0.08942435681819916,0.08942435681819916,0.0
80,0,2,0.08789107948541641,0.08789107948541641,0.0
90,0,2,0.11798472702503204,0.11798472702503204,0.0
0,0,3,0.014001834206283092,0.014001834206283092,0.0
10,0,3,0.01526222750544548,0.01526222750544548,0.0
20,0,3,0.03024974651634693,0.03024974651634693,0.0
30,0,3,0.04505705460906029,0.04505705460906029,0.0
40,0,3,0.05384109541773796,0.05384109541773796,0.0
50,0,3,0.06288076937198639,0.06288076937198639,0.0
60,0,3,0.07286097854375839,0.07286097854375839,0.0
70,0,3,0.0959736704826355,0.0959736704826355,0.0
80,0,3,0.09647828340530396,0.09647828340530396,0.0
90,0,3,0.10701991617679596,0.10701991617679596,0.0
0,0,4,0.0091478880494833,0.0091478880494833,0.0
